datasetNum,priority,datasetName,dataRefuge,dataGov,edg.epa.gov,webArchiveLink,datasetSource,accurateSource,sourceUpdate,fileSize_downloadableData
01,,AirNow,https://www.datarefuge.org/dataset/airnow,https://catalog.data.gov/dataset/airnow,,N/A,https://airnow.gov,,,
02,,Clean Air Status and Trends Network (CASTNET) | Factual Data,https://www.datarefuge.org/dataset/clean-air-status-and-trends-network-castnet-factual-data,https://catalog.data.gov/dataset/clean-air-status-and-trends-network-castnet-download-data-module,,N/A,https://java.epa.gov/castnet/datatypepage.do?reportTypeId=REP_004&reportTypeLabel=Factual%20Data,N,https://java.epa.gov/castnet/clearsession.do,
03,,Toxic Substances Control Act (TSCA) Chemical Substance Inventory,https://www.datarefuge.org/dataset/toxic-substances-control-act-tsca-chemical-substance-inventory,https://catalog.data.gov/dataset/tsca-inventory,,https://web.archive.org/web/*/https://epa.gov/tsca-inventory/how-access-tsca-inventory,https://www.epa.gov/tsca-inventory/how-access-tsca-inventory,Y,,
04,,CPCat: Chemical and Product Categories,https://www.datarefuge.org/dataset/cpcat-chemical-and-product-categories,https://catalog.data.gov/dataset/consumer-product-category-database-8a556,https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B90CDFB11-E94E-4E84-942C-5B3D2B5ED0CD%7D,https://web.archive.org/web/*/https://actor.epa.gov/cpcat/faces/download.xhtml,https://actor.epa.gov/cpcat/faces/download.xhtml,,,228 MB (at least the zip); CPCat_distribution_2014_05_21.zip is 91.6 MB; the .war file 21.2 MB on its own; 
05,,2012 Chemical Data Reporting Results,https://www.datarefuge.org/dataset/mydataset-org,https://catalog.data.gov/dataset/epa-linked-open-data-chemical-data-reporting; OR https://catalog.data.gov/dataset/chemical-data-access-tool,not the 2012 reports but the databases is cataloged https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B2D73C764-6919-404D-8C9B-61869B3330D6%7D; also see https://www.epa.gov/chemical-data-reporting/interpreting-cdr-data,https://web.archive.org/web/*/https://epa.gov/chemical-data-reporting/2012-chemical-data-reporting-results,https://epa.gov/chemical-data-reporting/2012-chemical-data-reporting-results,N,,mdb file is 88 MB; zip is 11.8 MB unzipped; 
06,,EPA FRS Facilities,https://www.datarefuge.org/dataset/epa-frs-facilities,https://catalog.data.gov/dataset/u-s-epas-geospatial-data-access-project96ece,"KW=""Facility Registry System (FRS)"" to find CSVs for different states",https://web.archive.org/web/*/https://www.epa.gov/enviro/epa-frs-facilities-state-single-file-csv-download,https://www.epa.gov/enviro/epa-frs-facilities-state-single-file-csv-download,N,,
07,,Universe of Chemicals for Potential Endocrine Disruptor Screening and Testing,https://www.datarefuge.org/dataset/universe-of-chemicals-for-potential-endocrine-disruptor-screening-and-testing,n/a,,https://web.archive.org/web/*/https://epa.gov/endocrine-disruption/universe-chemicals-potential-endocrine-disruptor-screening-and-testing,https://www.epa.gov/endocrine-disruption/universe-chemicals-potential-endocrine-disruptor-screening-and-testing,Y,,
08,,EPA National Enforcement and Compliance History Online (ECHO) Data Download,https://www.datarefuge.org/dataset/epa-national-enforcement-and-compliance-history-online-echo-data-download,https://catalog.data.gov/dataset/epa-enforcement-and-compliance-history-online,,https://web.archive.org/web/*/https://echo.epa.gov/,https://www.datarefuge.org/dataset/epa-national-enforcement-and-compliance-history-online-echo-data-download,,,
09,,Emissions \u0026 Generation Resource Integrated Database (eGRID),https://www.datarefuge.org/dataset/https-epa-gov-energy-emissions-generation-resource-integrated-database-egrid,https://catalog.data.gov/dataset/emissions-generation-resource-integrated-database-egrid-egrid2010,,https://web.archive.org/web/*/https://epa.gov/energy/emissions-generation-resource-integrated-database-egrid,https://epa.gov/energy/emissions-generation-resource-integrated-database-egrid,Y,,
10,,2012 Chemical Data Reporting Results_EPA,https://www.datarefuge.org/dataset/2012-chemical-data-reporting-results-epa,https://catalog.data.gov/dataset/chemical-data-reporting-rule-cdr,see datasetNum05 since it's dup; also see this link to mirror I-11: https://edg.epa.gov/metadata/catalog/search/resource/details.page?uuid=%7B91CAEB15-8E6B-48D4-A223-3E2D9B4D4847%7D,https://web.archive.org/web/*/https://epa.gov/chemical-data-reporting/2012-chemical-data-reporting-results,https://www.epa.gov/chemical-data-reporting/2016-chemical-data-reporting-results,N,,mdb file is 88 MB; zip is 11.8 MB unzipped; 
11,,Sample CROMERR Applications and Checklists - Cross-Media Electronic Reporting Rule (CROMERR),https://www.datarefuge.org/dataset/sample-cromerr-applications-and-checklists-cross-media-electronic-reporting-rule-cromerr,n/a,,https://web.archive.org/web/*/https://www.epa.gov/cromerr/sample-cromerr-applications-and-checklists,https://www.epa.gov/cromerr/sample-cromerr-applications-and-checklists,Y,,
12,,Facilities or sites subject to environmental regulation within the Facility Registry System,https://www.datarefuge.org/dataset/facilities-or-sites-subject-to-environmental-regulation-within-the-facility-registry-system,n/a,,https://web.archive.org/web/*/https://www.epa.gov/enviro/epa-state-combined-csv-download-files,https://www.epa.gov/enviro/epa-state-combined-csv-download-files,Y,,
13,,EPA Carbon Footprint Calculator,https://www.datarefuge.org/dataset/epa-carbon-footprint-calculator,n/a,,https://web.archive.org/web/*/https://www3.epa.gov/carbon-footprint-calculator/,https://www3.epa.gov/carbon-footprint-calculator/,Y,,
14,,2012 Greenhouse Gas Program_National_FRS,https://www.datarefuge.org/dataset/2012-greenhouse-gas-program-national-frs,n/a,not found,https://web.archive.org/web/*/https://www3.epa.gov/enviro/facts/ghg/search.html,https://www3.epa.gov/enviro/facts/ghg/search.html,Y,enviro.epa.gov,
